Country,Population,Total number of people living in extreme poverty,% of population
Solomon Islands,"667,628","172,176",26
Afghanistan,"40,054,765","15,896,945",40
Albania,"2,846,000","4,590","0,2"
Algeria,"42,230,000","162,035","0,4"
Angola,"33,179,280","17,865,636",54
Argentina,"44,490,000","405,156","0,9"
Armenia,"2,965,000","23,765","0,8"
Australia,"24,990,000","51,090","0,2"
Austria,"8,859,000","24,266","0,3"
Azerbaijan,"9,981,000",39,"0,0"
Bahamas,385.64,"8,522",2
Bahrain,"1,569,000","3,408","0,2"
Bangladesh,"172,694,320","8,872,546",5
Barbados,286.641,"7,082",3
Belarus,"9,485,000","3,340","0,0"
Belgium,"11,46,000","28,791","0,3"
Belize,"393,706","67,955",17
Benin,"12,315,378","5,924,560",48
Bolivia,"11,697,688","504,978",4
Bosnia and Herzegovina,"3,324,000","2,139","0,1"
Botswana,"2,426,486","439,054",18
Brazil,"215,868,832","8,949,431",4
Brunei,428.962,272,"0,1"
Bulgaria,"7,000,000","70,312",1
Burkina Faso,"21,392,830","8,962,183",42
Burundi,"11,769,370","9,432,043",80
Cambodia,"16,250,000","81,415","0,5"
Cameroon,"26,205,696","6,203,126",24
Canada,"37,590,000","88,868","0,2"
Capa Verde,543.767,"11,804",2
Central African Republic,"5,054,086","3,982,738",79
Chad,"16,622,348","7,064,095",42
Chile,"18,730,000","6,726","0,0"
China,"1,397,715,000","2,075,268","0,1"
Colombia,"50,491,464","2,391,051",5
Comoros,"889,168","198,846",22
Congo,"5,791,168","4,345,662",75
Congo (Kinshasa),"90,893,912","67,214,502",74
Costa Rica,"4,999,000","12,259","0,2"
Cote d'ivoire,"26,416,640","5,342,436",20
Croatia,"4,058,000","23,700","0,6"
Cuba,"11,340,000","56,738","0,5"
Cyprus,"1,189,000",365,"0,0"
Czech Republic,"10,710,000","11,057","0,1"
Denmark,"5,806,000","9,628","0,2"
Djibouti,"1,034,106","135,658",13
Dominican Republic,"10,630,000","47,288","0,4"
Ecuador,"17,505,574","659,790",4
Egypt,"98,420,000","2,436,073",2
El Salvador,"98,420,000","90,379",1
Equatorial Guinea,"1,356,336","76,593",6
Eritrea,"5,517,901","3,928,447",71
Estonia,"1,329,000",407,"0,0"
Eswatini,"1,443,243","466,519",32
Ethiopia,"115,745,560","27,013,950",23
Fiji,883.483,"2,542","0,3"
Finland,"5,518,000","4,518","0,1"
France,"66,990,000","83,257","0,1"
Gabon,"2,183,999","77,906",4
Gambia,"2,320,762","178,159",8
Georgia,"3,709,174","120,229",3
Germany,"83,020,000","194,032","0,2"
Ghana,"31,248,164","3,683,860",12
Greece,"10,720,000","97,340","0,9"
Guatemala,"17,941,752","1,337,965",7
Guayana,"752,898","35,021",5
Guinea,"13,944,353","3,874,594",28
Guinea- Bissau,"2,005,800","1,134,110",57
Haiti,"11,543,539","3,294,127",29
Honduras,9.841.903,"1,826,634",19
Hong Kong,"7,451,000","21,017","0,3"
Hungary,"9,770,000","53,957","0,6"
Iceland,"364,134",361,"0,1"
India,"1,392,310,272","103,310,272",7
Indonesia,"267,700,000","5,670,918",2
Iran,"81,800,000","213,642","0,3"
Iraq,"38,430,000","846,124",2
Ireland,"4,904,000",4849,"0,1"
Israel,"8,884,000","19,764","0,2"
Italy,"60,360,000","568,340","1,0"
Jamaica,"2,935,000","60,900",2
Japan,"126,500,000","503,874","0,4"
Jordan,"9,956,000",8.791,"0,1"
kazakhstan,"18,280,000","1,157","0,0"
Kenya,"49,723,960","7,847,987",16
Kosovo,"1,845,000","15,531","0,8"
Kuwait,"4,137,000","2,841","0,1"
kyrgyzstan,"6,316,000","36,910","0,6"
Laos,"7,259,001","766,263",11
Latvia,"1,920,000","8,151","0,4"
Lebanon,"6,849,000","10,561","0,2"
